"ViolationID","BuildingID","RegistrationID","BoroID","Borough","HouseNumber","LowHouseNumber","HighHouseNumber","StreetName","StreetCode","Postcode","Apartment","Story","Block","Lot","Class","InspectionDate","ApprovedDate","OriginalCertifyByDate","OriginalCorrectByDate","NewCertifyByDate","NewCorrectByDate","CertifiedDate","OrderNumber","NOVID","NOVDescription","NOVIssuedDate","CurrentStatusID","CurrentStatus","CurrentStatusDate","NovType","ViolationStatus","RentImpairing","Latitude","Longitude","CommunityBoard","CouncilDistrict","CensusTract","BIN","BBL","NTA"
"14511032","423399","401114","4","QUEENS","34-07","34-01","34-07","36 AVENUE","8690","11106","3B","3","638","1","B","08/19/2021","08/20/2021","10/11/2021","09/27/2021",,,,"550","7449912","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND WEST WALL, TOTAL 20 SQ FT IN THE BATHROOM LOCATED AT APT 3B, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST","08/23/2021","20","DEFECT LETTER ISSUED","05/21/2024","Original","Open","N","40.755396","-73.927194","1","26","57","4009575","4006380001","Astoria (Central)"
"13422415","423068","401113","4","QUEENS","35-50","35-50","35-58","35 STREET","8640","11106","4B","4","638","46","A","11/04/2019","11/06/2019","02/24/2020","02/10/2020",,,,"529","6709888","§ 27-2005 ADM CODE REFIT LOWER WINDOW SASH IN THE 2nd ROOM FROM NORTH LOCATED AT APT 4B, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''34-11'', AT EAST","11/07/2019","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","05/13/2025","Original","Open","N","40.755851","-73.925944","1","26","57","4009589","4006380046","Astoria (Central)"
"17390254","423041","421621","4","QUEENS","32-67","32-67","32-67","35 STREET","8640","11106",,"1","646","9","A","11/01/2024","11/01/2024","02/21/2025","02/07/2025",,,,"500","9412495","§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY","11/04/2024","2","NOV SENT OUT","11/04/2024","Original","Open","N","40.760029","-73.922543","1","22","59","4009677","4006460009","Astoria (Central)"
"17390255","423041","421621","4","QUEENS","32-67","32-67","32-67","35 STREET","8640","11106",,"1","646","9","A","11/01/2024","11/01/2024","02/21/2025","02/07/2025",,,,"1501","9412495","§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.","11/04/2024","2","NOV SENT OUT","11/04/2024","Original","Open","N","40.760029","-73.922543","1","22","59","4009677","4006460009","Astoria (Central)"
"17390256","423041","421621","4","QUEENS","32-67","32-67","32-67","35 STREET","8640","11106",,"1","646","9","A","11/01/2024","11/01/2024","02/21/2025","02/07/2025",,,,"1506","9412495","§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY","11/04/2024","2","NOV SENT OUT","11/04/2024","Original","Open","N","40.760029","-73.922543","1","22","59","4009677","4006460009","Astoria (Central)"
"17390257","423041","421621","4","QUEENS","32-67","32-67","32-67","35 STREET","8640","11106",,"1","646","9","A","11/01/2024","11/01/2024","02/21/2025","02/07/2025",,,,"500","9412495","§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY","11/04/2024","2","NOV SENT OUT","11/04/2024","Original","Open","N","40.760029","-73.922543","1","22","59","4009677","4006460009","Astoria (Central)"
"17397478","400524","413088","4","QUEENS","34-19","34-19","34-19","9 STREET","5540","11106","3","3","324","19","B","11/04/2024","11/05/2024","12/25/2024","12/11/2024",,,,"506","9415038","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING WALL CABINET AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","11/06/2024","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","03/10/2026","Original","Open","N","40.764466","-73.939873","1","22","39","4003853","4003240019","Queensbridge-Ravenswood-Dutch Kills"
"17397956","423396","403424","4","QUEENS","34-02","34-02","34-02","36 AVENUE","8690","11106",,"0","634","33","B","11/05/2024","11/06/2024","12/26/2024","12/12/2024",,,,"539","9417527","§ 27-2005, 2007 ADM CODE AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES CONSISTING OF BUCKET AT 4TH STORY BALCONY AT 1ST STACK FROM WEST AT NORTH (34 STREET) AT FIRE ESCAPE","11/07/2024","2","NOV SENT OUT","11/07/2024","Original","Open","N","40.755393","-73.927226","1","26","55","4009496","4006340033","Queensbridge-Ravenswood-Dutch Kills"
"17434650","414675","408450","4","QUEENS","35-04","35-04","35-04","28 STREET","7640","11106","BSMT","0","339","47","B","11/21/2024","11/22/2024","01/13/2025","12/30/2024",,,,"702","9449986","§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING IN THE ENTIRE APARTMENT LOCATED AT CELLAR APT BSMT, 1st CELLAR APT FROM NORTH AT EAST","11/25/2024","2","NOV SENT OUT","11/25/2024","Original","Open","N","40.758983","-73.931132","1","22","47","4004022","4003390047","Queensbridge-Ravenswood-Dutch Kills"
"124749","400971","413839","4","QUEENS","33-65","33-65","33-65","10 STREET","5640","11106","2R",,"319","15","C","07/09/1994","07/09/1994","08/17/1994","08/15/1994",,,,"555","7051","§ 27-2013 ADM CODE REMOVE OR COVER IN A MANNER APPROVED BY THE DEPARTMENT THE PEELING LEAD PAINT ON WINDOW SILL IN KITCHEN AT 2 STY REAR APT 2R ER. , SECTION '' ''","07/26/1994","2","NOV SENT OUT","07/26/1994","Original","Open","N","40.765695","-73.938110","1","22","85","4003767","4003190015","Queensbridge-Ravenswood-Dutch Kills"
"17436058","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","C","11/16/2024","11/21/2024","12/23/2024","12/18/2024",,,,"569","9439739","HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","47","NOTICE OF ISSUANCE SENT TO TENANT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"135117","415605","414293","4","QUEENS","33-12","33-12","33-12","29 STREET","7740","11106","5",,"582","5","B","12/06/1993","12/06/1993","10/04/2007","09/20/2007",,,"10/29/2007","702","3051001","§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR WHICH MISSING OF 3 STY FRONT APT 5 MR SLATTERY. , SECTION '' ''","08/16/2007","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","07/16/2025","Reissued","Open","N","40.761709","-73.927822","1","22","53","4007209","4005820005","Astoria (Central)"
"17436090","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","A","11/16/2024","11/21/2024","03/11/2025","02/25/2025",,,,"502","9439735","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE BATHTUB IN THE BATHROOM LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","2","NOV SENT OUT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"17436098","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","B","11/16/2024","11/21/2024","01/10/2025","12/27/2024",,,,"502","9439737","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE 3rd ROOM FROM EAST AT NORTH LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","2","NOV SENT OUT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"17436109","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","B","11/16/2024","11/21/2024","01/10/2025","12/27/2024",,,,"502","9439737","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE 3rd ROOM FROM EAST AT SOUTH LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","2","NOV SENT OUT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"17436121","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","B","11/16/2024","11/21/2024","01/10/2025","12/27/2024",,,,"502","9439737","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES IN THE KITCHEN LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","2","NOV SENT OUT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"17436133","423359","400402","4","QUEENS","28-20","28-20","28-20","36 AVENUE","8690","11106","1H","1","343","24","A","11/16/2024","11/21/2024","03/11/2025","02/25/2025",,,,"529","9439735","§ 27-2005 HMC: REFIT CLOSET DOOR IN THE 3rd ROOM FROM EAST AT SOUTH LOCATED AT APT 1H, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH","11/22/2024","2","NOV SENT OUT","11/22/2024","Original","Open","N","40.757592","-73.931923","1","26","51","4004162","4003430024","Queensbridge-Ravenswood-Dutch Kills"
"17401874","421333","400118","4","QUEENS","32-20","32-20","32-20","34 AVENUE","8440","11106",,"1","609","29","B","11/06/2024","11/07/2024","12/27/2024","12/13/2024",,,,"501","9419219","§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH ASSEMBLY ON BUILDING ENTRANCE DOOR TO PUBLIC HALL , 1st STORY","11/08/2024","2","NOV SENT OUT","11/08/2024","Original","Open","N","40.759180","-73.926226","1","22","57","4008196","4006090029","Astoria (Central)"
"17401876","421333","400118","4","QUEENS","32-20","32-20","32-20","34 AVENUE","8440","11106",,"1","609","29","B","11/06/2024","11/07/2024","12/27/2024","12/13/2024",,,,"504","9419219","§ 27-2005 ADM CODE PROVIDE SECURITY IN THE EVENT OF A POWER OUTAGE BY MEANS OF AN ACCEPTABLE MECHANICAL HEAVY DUTY LOCK SET ON VESTIBULE DOOR TO PUBLIC HALL , 1st STORY","11/08/2024","2","NOV SENT OUT","11/08/2024","Original","Open","N","40.759180","-73.926226","1","22","57","4008196","4006090029","Astoria (Central)"
"17401877","421333","400118","4","QUEENS","32-20","32-20","32-20","34 AVENUE","8440","11106",,"1","609","29","B","11/06/2024","11/07/2024","12/27/2024","12/13/2024",,,,"504","9419219","§ 27-2005 ADM CODE PROVIDE SECURITY IN THE EVENT OF A POWER OUTAGE BY MEANS OF AN ACCEPTABLE MECHANICAL HEAVY DUTY LOCK SET ON VESTIBULE DOOR TO PUBLIC HALL , 1st STORY","11/08/2024","2","NOV SENT OUT","11/08/2024","Original","Open","N","40.759180","-73.926226","1","22","57","4008196","4006090029","Astoria (Central)"
"17401880","421333","400118","4","QUEENS","32-20","32-20","32-20","34 AVENUE","8440","11106",,"1","609","29","B","11/06/2024","11/07/2024","12/27/2024","12/13/2024",,,,"501","9419219","§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LATCH ASSEMBLY ON DOOR TO SOUTH YARD AT PUBLIC HALL, 1st STORY","11/08/2024","2","NOV SENT OUT","11/08/2024","Original","Open","N","40.759180","-73.926226","1","22","57","4008196","4006090029","Astoria (Central)"
"17401881","421333","400118","4","QUEENS","32-20","32-20","32-20","34 AVENUE","8440","11106",,"1","609","29","B","11/06/2024","11/07/2024","12/27/2024","12/13/2024",,,,"502","9419220","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE MARBLE TREAD 1ST FROM BOTTOM UP AT PUBLIC HALL STAIRS, 1st STORY","11/08/2024","2","NOV SENT OUT","11/08/2024","Original","Open","N","40.759180","-73.926226","1","22","57","4008196","4006090029","Astoria (Central)"
"17406424","400524","413088","4","QUEENS","34-19","34-19","34-19","9 STREET","5540","11106","3","3","324","19","C","11/04/2024","11/06/2024","12/08/2024","12/03/2024",,,,"568","9417465","HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST","11/07/2024","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","03/10/2026","Original","Open","N","40.764466","-73.939873","1","22","39","4003853","4003240019","Queensbridge-Ravenswood-Dutch Kills"
"13915534","415605","414293","4","QUEENS","33-12","33-12","33-12","29 STREET","7740","11106","5","3","582","5","B","11/27/2020","11/28/2020","01/18/2021","01/04/2021",,,,"508","7019552","§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE BATHROOM LOCATED AT APT 5, 3rd STORY","11/30/2020","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","07/16/2025","Original","Open","N","40.761709","-73.927822","1","22","53","4007209","4005820005","Astoria (Central)"
"13940156","415605","414293","4","QUEENS","33-12","33-12","33-12","29 STREET","7740","11106","5","3","582","5","B","12/14/2020","12/15/2020","02/03/2021","01/20/2021",,,,"538","7036128","§ 27-2005, 2007 ADM CODE REMOVE ALL ENCUMBRANCES CONSISTING OF AT CEILING IN THE 4th BEDROOM FROM NORTH AT WEST LOCATED AT APT 5, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","12/16/2020","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","07/16/2025","Original","Open","Y","40.761709","-73.927822","1","22","53","4007209","4005820005","Astoria (Central)"
"13886494","415605","414293","4","QUEENS","33-12","33-12","33-12","29 STREET","7740","11106","5","3","582","5","B","11/09/2020","11/10/2020","12/31/2020","12/17/2020",,,,"1503","7004068","§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE LOCATED AT APT 5, 3rd STORY, APARTMENT AT EAST","11/12/2020","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","07/16/2025","Original","Open","N","40.761709","-73.927822","1","22","53","4007209","4005820005","Astoria (Central)"
"17566919","417230","401098","4","QUEENS","34-20","34-20","34-20","31 AVENUE","7990","11106","4R","4","624","45","C","12/19/2024","12/20/2024","01/01/2025","12/20/2024",,,,"666","9546417","§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 4R, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH","12/23/2024","2","NOV SENT OUT","12/23/2024","Original","Open","Y","40.763082","-73.920854","1","22","61","4008969","4006240045","Astoria (Central)"
"14913363","411704","406408","4","QUEENS","35-31","35-31","35-31","CRESCENT STREET","7300","11106","2R","2","339","10","C","02/14/2022","02/23/2022","03/25/2022","03/20/2022",,,,"617","7720363","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) EAST WALL, NORTH WALL IN THE FOYER LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST","02/24/2022","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","04/15/2025","Original","Open","N","40.759200","-73.932449","1","22","47","4004009","4003390010","Queensbridge-Ravenswood-Dutch Kills"
"17417795","419429","400116","4","QUEENS","34-12","34-12","34-20","32 STREET","8240","11106",,"1","608","34","C","11/14/2024","11/14/2024","11/28/2024","11/21/2024",,,,"506","9429064","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING LOCK AT VESTIBULE DOOR AT PUBLIC HALL, 1st STORY","11/15/2024","2","NOV SENT OUT","11/15/2024","Original","Open","N","40.758936","-73.926757","1","26","57","4008166","4006080034","Astoria (Central)"
"130412","411653","405018","4","QUEENS","34-15","34-15","34-15","CRESCENT STREET","7300","11106",,"0","583","22","A","08/13/1999","08/13/1999","07/05/2026","06/21/2026",,,"06/26/2026","491","10330111","§ 300 M/D LAW FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION WALLS ERECTED FROM FLOOR TO CEILING AT CELLAR FRONT.","03/18/2026","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","07/15/2026","Reissued","Open","N","40.760846","-73.930888","1","22","47","4007270","4005830022","Queensbridge-Ravenswood-Dutch Kills"
"14765676","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106",,"0","533","11","A","01/02/2022","01/02/2022","04/22/2022","04/08/2022",,,"02/25/2026","500","7596053","§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD.","01/03/2022","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
"14765679","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106",,"0","533","11","A","01/02/2022","01/02/2022","04/22/2022","04/08/2022",,,"02/25/2026","700","7596053","§ 27-2045 ADM CODE POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX ''MISSING''","01/03/2022","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
"14765680","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106",,"0","533","11","A","01/02/2022","01/02/2022","04/22/2022","04/08/2022",,,"02/25/2026","1506","7596053","§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED","01/03/2022","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
"14765681","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106",,"0","533","11","A","01/02/2022","01/02/2022","04/22/2022","04/08/2022",,,"02/25/2026","1501","7596053","§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.","01/03/2022","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
